"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"LB1139.35.P55 P43 2010","4","1"
"U22 .F49 2010","1","0"
"KF384 .P87 2010","0","2"
"LB2369 .P87 2010","1","1"
"HD30.23 .W566 2009","4","0"
"LB1027.23 .L82 2010","0","2"
"JK8716 .R46 2010","0","0"
"HQ118 .S49 2010","8","1"
"BF723.S43 F6713 2010","0","0"
"HT361 .L56 2010","1","0"
"GV943 .S645 2010","10","1"
"HM831 .W46 2010","0","0"
"BF575.G7 A43 2010","1","1"
"JN8788 .L56 2010","2","0"
"HE147.5 .C34 2010","1","0"
"HQ766.5.K4 N95 2009","1","0"
"GV721.92 .S54 2004","0","0"
"PT8950.U5 U513 2009","0","0"
"PL2925.5.S58 D8 2007","3","1"
"D764 .F688 2002","0","2"
"JC599.L3 O73 2008","0","0"
"DS797.26.N565 M55 2008","0","0"
"DS706.5 .P46 2008","0","0"
"PJ7904.A95 M57 2009","0","0"
"DS126.97 .M35 2006","0","1"
"DS786 .X566 2008","2","0"
"E184.M5 R3296 2008","0","0"
"PJ7858.A565 A63 2005","0","0"
"BF575.G7 R34 2008","0","2"
"PQ3989.3.T53 F3 2009","0","0"
"DS793.K2 Y43 2009","0","0"
"PQ3989.3.K638 R4 2008","0","0"
"BQ1029.A785 S55 2009","5","0"
"UC74 .C37 2010","1","0"
"BP63 .I68 N26 2008","1","0"
"PG3453.A6 Z57 2008","1","0"
"DS911.74 .C4834 2007","1","1"
"UG793 .H37 2010","2","0"
"HM1211 .A76 2002","0","0"
"DS595.2.E2 U84 2009","0","0"
"P306.8.S7 C37 2009","1","0"
"HN120.C48 G37 2010","1","0"
"U101 .L42313 2010","3","3"
"UB271.R9 A86 2007","0","0"
"UA853.K6 A12 2006","1","0"
"HT169.R8 K76 2009","0","0"
"DK258.6 .S57 2010","0","0"
"BP166.7 .I25 2007","0","0"
"HQ799.R9 T315 2008","0","0"
"BX1735 .G618 2010","5","5"
"HB3608.2.A3 D434 2009","0","0"
"PQ3989.2.D4938 A83 2009","0","0"
"PQ3989.2.F1776 B26 2010","0","0"
"CT1218.G676 A3 2009","0","0"
"HD9017.S422 C6 2010","0","0"
"BP195.W2 S237 2009","1","0"
"BX494.R87 R45 2001","0","0"
"DS318.84.G452 A3 2009","0","0"
"HN829 .G39 2009","0","0"
"BP195.M67 J84 2010","1","0"
"DK651.A7 K37 2009","0","0"
"DS316.9.R335 R34 2009","0","0"
"PQ2607.U9 H66 2009","0","0"
"DS316.Q34 A4 2008","0","0"
"PH3351.V35 A65 2009","0","0"
"PH3291.M48 Z6 2009","0","0"
"PH3042 .B358 2009","0","0"
"PQ3989.3.G84 O7 2009","1","0"
"HN717 .S26 2009","1","0"
"BP130.4 .A556 2008","0","0"
"PK6561.Y78 A6 2008","1","0"
"PH3241.H3157 Z73 2009","0","0"
"QH77.B93 K46 2008","1","0"
"PH3281.K25 Z79 2009","0","0"
"PH3281.K25 Z79 2009","0","0"
"PH3351.S542 F45 2009","0","0"
"NA590 .V3 1974","2","0"
"PH3015 .A54 2009","0","0"
"PK6562.26.U75 D8 2008","0","1"
"PN2728.I3545 A247 2009","0","0"
"PH2081 .T358 2008","0","0"
"PQ3989.2.L44 D3 2010","0","0"
"PH2761.S98 M39 2008","0","0"
"PC794.B7 O772 2009","0","0"
"DS318.9 .J35 2000","0","0"
"P23 .Q86 2009","0","0"
"DS318.815 .H35 2000","1","0"
"CS2910 .F47 2009","0","0"
"PQ3989.2.L44 J4 2009","1","0"
"PT225 .D53 2009","0","0"
"PQ2672.A578 Z46 2010","0","0"
"PT747.A8 A96 2006","1","0"
"UA840 .M644 2009","2","0"
"K5183","3","0"
"K5183","2","1"
"JQ1789.A5 I68 1998","2","0"
"PQ6558 .P387 2009","1","0"
"PR9499.3.S247 C664 2009","0","0"
"PT2673.O24 K78 2009","0","0"
"DS597.2.Z86 A15 2009","1","0"
"PA2117 .Z45 2008","1","0"
"PT279.F79 B76 1992","0","0"
"HD890.6.Z63 C48 2009","1","0"
"HD2346.E85 C63 2009","0","0"
"UA646.3 .T7324 2006","2","0"
"HN270.Z9 V543 2009","0","0"
"PK6561.S2787 M37 2008","1","1"
"HJ2950.6 .M68 2008","0","0"
"PQ2720.H66 B3 2010","1","0"
"B693 .E63 2010","0","0"
"PK6562.29.A53 I5 2009","0","2"
"DS318.825 .K38 2001","0","0"
"DS318.9 .H367 1999","0","0"
"DS318.9 .U28 2000","1","0"
"DS318.9 .B56 1999b","1","0"
"PS3513.L34 Z68","1","0"
"PN2974 .S276 2008","0","0"
"PN2974 .S276 2008","0","0"
"PN2974 .S276 2008","0","0"
"PJ7828.F483 Z75 2005","0","0"
"PJ7828.F483 Z75 2005","0","0"
"PN1993.5.A65 Q27 2010","0","0"
"BP80.I6 B8 1999","2","0"
"PQ8180.17.A73 D45 2008","11","0"
"KBP340.I264 F39 2009","0","0"
"PJ6106 .A55 2008","0","0"
"BP172 .L23 2009","0","0"
"KBP440.22 .M36 2009","0","0"
"BP70 .B39 2010","0","0"
"PN98.R38 M784 2010","0","0"
"BP10.J383 Q28 2009","1","0"
"PJ6161 .J56 2010","0","0"
"DT107.83 .S277 2010","0","0"
"PC4821 .B69","1","0"
"BX134.E3 K36 2008","0","0"
"D568.7 .T37 2008","2","0"
"BP189 .S333 2008","0","1"
"PJ7701.6.N8 Z835 2009","0","1"
"DF555 .M84 2009","0","0"
"BP172 .Q25 2008","0","0"
"DS87.5 .N38 2006","0","1"
"PQ3989.3.A765 S68 2009","0","0"
"CJ553 .V55 2002","1","0"
"CJ553 .V55 2002","1","0"
"RA452.M35 C66 2009","2","0"
"PQ8498.412.R63 A98 2009","0","0"
"N8050 .C452 2010","0","0"
"GR133.P4 Y32 2009","0","0"
"F3611.A7 A747 2008","1","0"
"DS685 .I54 2008","1","0"
"DT294 .A234 2010","8","0"
"E475.81 .B789 2010","0","0"
"D810.P7 E854 2010","8","0"
"PS3570.H56425 B75 2009","0","0"
"DG77 .M425 2010","3","1"
"D809.G7 W45 2010","3","0"
"PN1993.5.I88 P37 2009","2","1"
"P281 .C593 2010","0","0"
"B3248.G33 C66 2010","3","0"
"E449 .K374 2010","0","0"
"B3279.H49 G5922 2010","4","0"
"B3317 .F337 2010","1","0"
"E340.G8 H45 2010","2","0"
"BL2747 .S645 2010","7","0"
"PS374.A76 H46 2010","0","0"
"F1219.1.G93 O94 2010","1","0"
"PN56.D55 H55 2010","4","0"
"DD256.6 .A35 2010","8","0"
"E445.N8 H38 2010","3","1"
"F1788 .R595 2010","2","1"
"D13.2 .T74 2010","3","0"
"D804.3 .H642 2009","0","0"
"D804.3 .L66 2010","9","0"
"PS153.N5 S75 2010","2","0"
"E457.5 .L735 2010","4","0"
"DS894.59.N3319 W54 2010","3","0"
"F1233 .I17 2010","4","0"
"KKT517.5 .K45 2010","2","0"
"BL793.C7 M335 2010","2","0"
"E564.4 .W55 2010","0","0"
"PR6023.A93 N49 2009","0","1"
"BL41 .S73 2010","7","0"
"DC241.5 .C53 2010","0","0"
"E78.O6 W53 2010","0","1"
"PQ4542 .Z35 2010","5","1"
"PS159.C5 S73 2010","1","1"
"PN1059.T7 R63 2010","5","0"
"DG70.P7 D89 2010","1","1"
"BP166.57 .P76 2010","8","0"
"BM755.S288 H45 2010","3","1"
"F217.A65 R43 2010","6","0"
"DS117 .B7213 2010","1","1"
"PR9192.5 .B69 2010","2","0"
"F2235.5.R6 B75 2010","3","0"
"DA990.U46 M33 2010","0","0"
"PQ2631.R63 Z54548213 2010","2","0"
"PT2603.E455 Z89474 2010","10","2"
"PQ663 .G36 2010","0","0"
"PN1998.3.E334 A5 2010","0","0"
"B751.Z7 M4 2010","5","1"
"E194.S75 B49 2010","1","0"
"PS169.S57 A66 2010","8","0"
"BL2565 .E36 2010","1","1"
"DG207.S4 B37 2010","3","0"
"DT159.6.D27 D35 2010","2","0"
"CC83 .D47 2010","2","0"
"PS3557.I456 D65 2010","1","0"
"BX215 .E28 2010","2","1"
"PS3561.A5577 E33 2010","0","0"
"P96.E29 E35 2010","0","0"
"PN849.C3 M56 2010","0","0"
"BT702 .P56 2010","3","0"
"F1054.5.M857 M55 2010","3","0"
"PN1995.9.A78 R63 2010","6","1"
"Z1003.2 .L84 2010","3","0"
"E185.2 .F277 2010","6","0"
"DB86 .G45 2010","3","2"
"DS224.52 .A43 2010","3","2"
"B2430.M3763 I5813 2010","2","0"
"PR9369.3.C58 Z73 2010","8","0"
"PS3603.A77623 K44 2010","0","1"
"D810.J4 L4 1991","0","0"
"P234 .N48 2010","0","0"
"PN1998.3.B454 B76 2010","3","0"
"PN4783 .D87 2010","2","1"
"E184.M5 G647 2010","1","0"
"DS432 .M84 2010","1","1"
"DT16.5 .C38 2010","4","0"
