CALL #(ITEM),TOT CHKOUT,INTL USE 
B765.P83 O73 2014,0,0
B765.T54 A683 2013,2,0
B765.T54 C653 2014,6,0
B765.T54 J47 2013,0,1
B765.T54 K586 2013,1,0
B765.T54 M216 2014,0,0
B77 .D43513 2014,0,0
B77 .F47 2014,0,0
B77 .L36613 2013,3,0
B77 .N66 2011,0,0
B77 .T87 2014,1,0
B77.D43 H65 2013,11,0
B778 .F76 2013,0,0
B778 .R427 2014,4,3
B785.F434 J66 2013,1,0
B785.F434 J66 2013,1,0
B785.M214 M3413 2014,1,0
B785.P164 M58 2012,0,0
B785.P564 H53 2014,4,0
B785.R674 A4 2013,0,0
B785.Z23 O613 2013,0,0
B785.Z23 O613 2013,0,0
B799 .G83 2013,0,0
B799 .H38 2013,2,0
B802 .B45 2013,0,0
B802 .B45 2013,0,0
B802 .B87 2013,1,0
B802 .C625 2013,2,0
B802 .D36 2014,0,0
B802 .F54 2013,2,0
B802 .F55 2013,3,1
B802 .L845 2012,0,0
B802 .L86 2013,0,0
B802 .P36 2013,0,0
B802 .R33 2014,0,0
B804 .L28 2013,2,0
B804 .V484 2011,0,0
B805 .F55 2012,0,0
B808.5 .S625 2014,1,0
B808.5 .S655 2014,2,0
B808.5 .V73 2013,0,1
B808.67 .S64 2013,0,0
B809.13 .S26 2012,0,0
B809.3 .B89 2013,0,0
B809.3 .P487 2013,2,0
B809.6 .C435 2014,0,0
B809.7 .D68 2013,1,0
B809.82.S65 D83 2013,0,0
B810 .S878 2008,0,0
B812 .C66 2014,1,0
B815 .S74 2014,3,0
B818 .D25 2013,0,0
B819 .A4 2014,7,0
B819 .E9456 2014,0,0
B819 .J83 2012,0,0
B819 .K27 2011,1,0
B819 .M377 2013,0,0
B820.3 .A55 2013,2,0
B821 .I57 2013,0,0
B821 .N39 2014,4,0
B821 .P45 2013,3,0
B821 .R65 2013,0,0
B821 .W43 2013,0,0
B823 .F36 2012,0,0
B823 .F66716 2009,0,0
B823 .P44 2014,2,0
B823.3 .S83 2005,0,0
B824 .V46 2013,4,0
B824.4 .K557 2012,0,0
B824.6 .K3513 2014,0,0
B828.2 .C63 2014,0,1
B828.2 .L54 2013,0,0
B828.2 .T57 2012,0,0
B828.45 .K68 2014,0,0
B828.47 .P46 2013,0,0
B829.5 .D48 2013,2,0
B829.5 .H4713 2013,1,0
B829.5 .L563 2014,1,0
B829.5 .M333 2014,5,0
B829.5 .P4546 2013,5,1
B829.5 .S483 2013,5,0
B829.5.A3 V36 2014,7,1
B831.2 .B49 2013,0,0
B831.2 .P634 2014,1,0
B831.2 .P67 2013,0,0
B831.2 .S56 2013,0,0
B832 .B87 2013,1,0
B832 .C36 2013,3,0
B832 .M57 2013,4,0
B832 .R416 2014,1,0
B835 .R3265 2014,0,0
B836.5 .D87 2013,1,0
B840 .S33 2013,0,0
B840 .Y33 2014,2,0
B841.4 .A43 2014,0,1
B841.4 .K65 2014,1,0
B843 .C36 2014,3,1
