"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"LC3993 .S59 2008","2","0"
"RC451.4.A5 H3585 2008","0","1"
"JC571 .B883 2008","0","0"
"HM851 .H97 2008","4","1"
"TR644 .C88 2008","4","0"
"HC79.C6 D42 2008","10","0"
"JC423 .I586 2008","2","0"
"HF5438.4 .M35 2008","0","0"
"HD49 .M35 2008","0","0"
"BF722 .C63 2008","3","1"
"HV6046 .C285 2008","1","0"
"JZ5560 .C67 2008","7","0"
"LB1139.25 .L49 2008","9","0"
"QH31.C33 R33 2008","6","0"
"HX311.5 .S63 2008","2","2"
"HQ1122 .S47 2008","7","0"
"HD3611 .S774 2008","1","0"
"RC489.P46 S7854 2008","1","0"
"HN801.J64 M87 2008","3","0"
"HD58.82 .A739 2008","2","2"
"HQ798 .F37 2008","4","1"
"GN20 .T44 2008","1","0"
"KDZ944 .M53 2008","0","0"
"LF119 .J64 2008","0","0"
"GT2112 .V45 2008","12","2"
"HQ670 .S64 2008","2","0"
"HQ799.D44 Y68 2008","3","0"
"PR9199.4.P78 S53 2008","0","0"
"PL782.E1 E23 2008","8","1"
"HC426.5.A2 G85 2007","3","0"
"HD7285 .W6 W07-4","1","0"
"HD7285 .W6 W07-5","1","0"
"HD7285 .W6 W07-6","1","0"
"HD7285 .W6 W07-7","1","0"
"HD7285 .W6 W07-8","1","0"
"HD7285 .W6 W07-9","1","0"
"PQ9936.5.E5 P27 2007","2","0"
"PT2473.K3 S46 2008","3","0"
"HV8708 .P463 2007","0","0"
"LB1573.37 .M39 2008","1","0"
"LB1574.5 .M34 2008","1","0"
"PN1995.9.W6 W675 2007","2","0"
"LB1525.3 .M34 2008","2","0"
"PS3600.A1 D57 2008","4","0"
"LB1525.7 .M34 2008","2","0"
"N8189.R8 O47 2006","0","0"
"LB1573.7 .M39 2008","1","0"
"PQ7298.12.E47 A648 2006","5","0"
"B3279 .H45 1976 Bd. 88","0","0"
"PQ6651.Z76 A63 2007","0","0"
"PQ8098.16.R36 A46 2007","0","0"
"PS3613.C38645 E24 2008","2","0"
"LB1525.7 .M342 2008","2","1"
"LB1573.7 .M341 2008","2","0"
"PQ6672.I28 C837 2007","0","0"
"HT1048 .C66 2002","0","1"
"LB1025.3 .C43 2008","1","0"
"PQ6719.A65 D53 2007","0","0"
"DA589.4 .P47 2007","0","0"
"JF1525.P6 I56 2008","2","0"
"PQ6651.Z76 I68 2007","0","0"
"PQ7298.2.A33 F567 2006","0","0"
"DA690.H838 M47 2007","0","0"
"PQ7298.12.A65 F53 2006","0","0"
"HM585 .N46 2008","15","1"
"PQ7409.2.G59 F47 2006","0","0"
"BF1031 .X56 2008","1","0"
"PQ8550.19.R56 F8 2007","0","0"
"GV1588.6 .S56 2008","5","1"
"PQ7298.26.A285 G78 2006","0","0"
"HB501 .D654 2008","0","0"
"HT1581 .C36 2008","1","0"
"PQ7298.18.U375 G8 2007","0","0"
"HF5472.U6 S74 2008","6","1"
"PQ6653.O453 C85 2007","0","0"
"JC574.2.U6 L35 2008","11","0"
"PC3942.12.A8 C47 2007","0","0"
"JA74.5 .S47 2008","2","0"
"PQ7298.17.A417 H54 2006","2","1"
"LB3032 .G33 2008","2","0"
"PQ7798.3.U78 A65 2007","0","0"
"PQ7798.16.I333 J84 1999","0","0"
"PQ7440.S235 I54 2007","0","0"
"PQ8498.1.R38 G73 2007","1","0"
"PQ6665.R39 F33 2007","2","1"
"PQ7392.G37 F36 2006","0","0"
"PQ7798.432.A547 A38 2007","1","0"
"DK511.L55 G67 2006","1","0"
"PR9320.9.G53 S86 2007","0","0"
"PQ7798.3.A18 E97 2007","1","0"
"PQ7798.423.O745 A4 2007","1","0"
"PQ7798.42.A44 C27 2007","1","0"
"PQ7392.J56 C58 2007","1","0"
"PQ7298.28.E965 C36 2006","0","0"
"HE8635 .B87 2008","0","0"
"HF1418.7 .R439 2008","0","0"
"GT523.9 .P65 2007b","5","1"
"HQ1064.U5 C5143 2008","4","0"
"PQ7298.29.A34 A88 2007","0","0"
"DA355 .D86 2005","5","3"
"JF801 .W85 2008","1","0"
"PQ7298.17.O413 A97 2006","2","0"
"PQ6703.A8822 C45 2007","0","0"
"JZ1734 .C515 2008","1","1"
"PQ7298.16.U46 C37 2006","0","0"
"DA990.U46 D34 2008","6","0"
"PQ4815.I48 Z65 2007","0","0"
"PA3998.H36 A2 2008","1","0"
"PR421 .C26 2006","4","1"
"PQ7298.3.R85 H54 2006","0","0"
"LB2844.1.N4 O45 2008","2","0"
"PQ8550.1.L45 F35 2007","0","0"
"PN4936.V39 A3 2007","0","0"
"KTA440 .A83 2007","0","0"
"PQ7798.13.O71783 E65 2005","0","0"
"JZ1318 .W673 2007","1","1"
"BF311 .C55225 2008","1","0"
"BF311 .C55225 2008","0","1"
"BF311 .C55225 2008","1","0"
"BF311 .C55225 2008","0","0"
"BF311 .C55225 2008","1","0"
